地名,センター,可燃ごみ,不燃ごみ,資源物（プラスチック製容器包装のみ）,資源物（プラスチック製容器包装含む全品目）
旭町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
荒町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
五十辺（岩谷、山神、大森、立石、北原、猫渕、滝元、坂登、石田、岩ノ前、山際、山居、茶屋下、道前、北ノ前、田中島、舘ノ前、舘ノ内、蝦貫、矢倉下、遠瀬戸、古川、中荒子、北中川原、高野河原下、上荒子、下荒子、本新畑、本内字南下釜の地区）,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
入江町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
上町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
太田町,あらかわクリーンセンター,火 金,水2 水4,水2 水4,水1 水3
御山町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
御倉町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
大町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
置賜町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
霞町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
春日町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
上浜町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
北町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
北五老内町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
五老内町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
腰浜町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
栄町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
五月町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
桜木町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
信夫山（西養山、南平、金山、狐山、狐塚畑、狐塚、下狐塚、太子堂、大日堂、堂殿、駒山、妻夫石、大明神、御山堂殿、狩野、大山、京塚、大平山、清水山、所窪、児石、山居上、鴇頭森、蟹沢入、立道、小金山、蝦夷穴、熊野山、熊野峰、鶴巻の地区）,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
新浜町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
新町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
陣場町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
須川町,あらかわクリーンセンター,火 金,水2 水4,水2 水4,水1 水3
杉妻町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
清明町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
曽根田町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
仲間町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
天神町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
豊田町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
中町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
野田町（本庁管内）,あらかわクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
花園町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
浜田町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
万世町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
東浜町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
東中央一丁目（本庁管内）,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
舟場町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
堀河町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
松木町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
松浪町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
松山町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
宮下町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
南町,あぶくまクリーンセンター,火 金,水2 水4,水2 水4,水1 水3
宮町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
三河南町,あらかわクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
三河北町,あらかわクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
南中央(本庁管内),あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
本町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
森合町,あぶくまクリーンセンター,月 木,水1 水3,金2 金4,金1 金3
矢剣町,あらかわクリーンセンター,火 金,水2 水4,水2 水4,水1 水3
八島町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
山下町,あぶくまクリーンセンター,火 金,水2 水4,木1 木3,木2 木4
柳町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
早稲町,あぶくまクリーンセンター,月 木,水1 水3,金1 金3,金2 金4
荒井,あらかわクリーンセンター,火 金,水2 水4,水2 水4,水1 水3
泉,あらかわクリーンセンター,月 木,水1 水3,火2 火4,火1 火3
